"","run_id","stress","stable","block_no","block","trial_no","b1","b2","b3","b4","resp","advantageous","switch"
"3819",76,"no","no","b03","1",19,-67,-7,23,20,4,0,1
"3820",76,"no","no","b03","1",20,-71,-4,14,35,2,0,1
"3821",76,"no","no","b03","1",21,-76,11,31,42,1,0,1
"3822",76,"no","no","b03","1",22,-67,9,0,34,2,0,1
"3823",76,"no","no","b03","1",23,-75,52,6,19,3,0,1
"3824",76,"no","no","b03","1",24,-57,51,1,17,4,0,1
"3825",76,"no","no","b03","1",25,-57,26,-7,29,1,0,1
"3826",76,"no","no","b03","1",26,-60,20,-11,9,2,1,1
"3827",76,"no","no","b03","1",27,-71,3,-12,-34,3,0,1
"3828",76,"no","no","b03","1",28,-75,16,-30,-39,4,0,1
"3829",76,"no","no","b03","1",29,-52,28,-12,-26,1,0,1
"3830",76,"no","no","b03","1",30,-57,27,-27,-42,2,1,1
"3831",76,"no","no","b03","1",31,-54,39,-40,-14,1,0,1
"3832",76,"no","no","b03","1",32,-17,64,-57,-1,2,1,1
"3833",76,"no","no","b03","1",33,-10,33,-64,21,4,0,1
"3834",76,"no","no","b03","1",34,17,51,-51,3,3,0,1
"3835",76,"no","no","b03","1",35,-1,45,-70,41,1,0,1
"3836",76,"no","no","b03","1",36,23,17,-51,40,4,1,1
"3837",76,"no","no","b03","1",37,3,20,-45,52,2,0,1
"3838",76,"no","no","b03","1",38,24,-2,-15,50,4,1,1
"3839",76,"no","no","b03","1",39,24,15,-11,26,1,0,1
"3840",76,"no","no","b03","1",40,27,21,-3,23,3,0,1
"3841",76,"no","no","b03","1",41,40,11,10,15,2,0,1
"3842",76,"no","no","b03","1",42,36,-10,32,3,1,1,1
"3843",76,"no","no","b03","1",43,35,-1,40,22,4,0,1
"3844",76,"no","no","b03","1",44,25,33,55,-16,3,1,1
"3845",76,"no","no","b03","1",45,21,66,39,-19,2,1,1
"3846",76,"no","no","b03","1",46,4,66,-7,-15,1,0,1
"3847",76,"no","no","b03","1",47,13,70,-25,-3,4,0,1
"3848",76,"no","no","b03","1",48,10,61,-27,5,1,0,1
"3849",76,"no","no","b03","1",49,10,69,-13,13,3,0,1
"3850",76,"no","no","b03","1",50,49,80,-4,7,2,1,1
